CA# generation fitness_with_discard=0,2
0 0 1 
0 1 1 
0 2 1 
0 3 1 
0 4 12 
0 5 88 
0 6 116 
0 7 160 
0 8 160 
0 9 168 
0 10 244 
0 11 244 
0 12 244 
0 13 244 
0 14 300 
0 15 300 
0 16 344 
0 17 344 
0 18 344 
0 19 344 
0 20 440 
0 21 440 
0 22 440 
0 23 440 
0 24 440 
0 25 440 
0 26 440 
0 27 440 
0 28 440 
0 29 440 
0 30 440 
0 31 440 
0 32 440 
0 33 440 
0 34 440 
0 35 440 
0 36 440 
0 37 440 
0 38 440 
0 39 440 
0 40 516 
0 41 524 
0 42 524 
0 43 524 
0 44 524 
0 45 524 
0 46 524 
0 47 524 
0 48 812 
0 49 812 
0 50 812 
0 51 812 
0 52 812 
0 53 812 
0 54 812 
0 55 812 
0 56 812 
0 57 812 
0 58 812 
0 59 812 
0 60 812 
0 61 812 
0 62 904 
0 63 904 
0 64 904 
0 65 904 
0 66 904 
0 67 904 
0 68 904 
0 69 904 
0 70 904 
0 71 904 
0 72 1200 
0 73 1200 
0 74 1200 
0 75 1420 
0 76 1420 
0 77 1420 
0 78 1420 
0 79 1420 
0 80 1420 
0 81 1420 
0 82 1420 
0 83 1420 
0 84 1420 
0 85 1420 
0 86 1420 
0 87 1420 
0 88 1420 
0 89 1420 
0 90 1420 
0 91 1420 
0 92 1420 
0 93 1420 
0 94 1420 
0 95 1420 
0 96 1420 
0 97 1420 
0 98 1420 
0 99 1420 
0 100 1436 
0 101 1436 
0 102 1436 
0 103 1436 
0 104 1436 
0 105 1436 
0 106 1436 
0 107 1436 
0 108 1436 
0 109 1436 
0 110 1436 
0 111 1436 
0 112 1436 
0 113 1436 
0 114 1436 
0 115 1436 
0 116 1436 
0 117 1436 
0 118 1436 
0 119 1436 
0 120 1436 
0 121 1436 
0 122 1436 
0 123 1436 
0 124 1436 
0 125 1436 
0 126 1436 
0 127 1436 
0 128 1436 
0 129 1436 
0 130 1436 
0 131 1436 
0 132 1436 
0 133 1436 
