Generation Fitness Majority
0 1 0.4567901234567901
1 1 0.4567901234567901
2 1 0.4567901234567901
3 4 0.4444444444444444
4 4 0.4444444444444444
5 4 0.4444444444444444
6 4 0.4444444444444444
7 44 0.4403292181069959
8 44 0.4403292181069959
9 88 0.43209876543209874
10 88 0.43209876543209874
11 88 0.43209876543209874
12 148 0.448559670781893
13 148 0.448559670781893
14 148 0.448559670781893
15 148 0.448559670781893
16 148 0.448559670781893
17 148 0.448559670781893
18 172 0.4279835390946502
19 172 0.4279835390946502
20 200 0.4444444444444444
21 200 0.4444444444444444
22 200 0.4444444444444444
23 200 0.4444444444444444
24 252 0.42386831275720166
25 252 0.42386831275720166
26 252 0.42386831275720166
27 252 0.42386831275720166
28 252 0.42386831275720166
29 252 0.42386831275720166
30 252 0.42386831275720166
31 252 0.42386831275720166
32 264 0.4279835390946502
33 264 0.4279835390946502
34 264 0.4279835390946502
35 264 0.4279835390946502
36 264 0.4279835390946502
37 264 0.4279835390946502
38 264 0.4279835390946502
39 264 0.4279835390946502
40 264 0.4279835390946502
41 264 0.4279835390946502
42 264 0.4279835390946502
43 264 0.4279835390946502
44 264 0.4279835390946502
45 264 0.4279835390946502
46 412 0.4403292181069959
47 412 0.4403292181069959
48 412 0.4403292181069959
49 412 0.4403292181069959
50 412 0.4403292181069959
51 412 0.4403292181069959
52 412 0.4403292181069959
53 412 0.4403292181069959
54 412 0.4403292181069959
55 412 0.4403292181069959
56 412 0.4403292181069959
57 412 0.4403292181069959
58 612 0.43209876543209874
59 700 0.43209876543209874
60 700 0.43209876543209874
61 700 0.43209876543209874
62 904 0.4279835390946502
63 904 0.4279835390946502
64 904 0.4279835390946502
65 904 0.4279835390946502
66 904 0.4279835390946502
67 904 0.4279835390946502
68 904 0.4279835390946502
69 904 0.4279835390946502
70 904 0.4279835390946502
71 904 0.4279835390946502
72 904 0.4279835390946502
73 904 0.4279835390946502
74 904 0.4279835390946502
75 904 0.4279835390946502
76 904 0.4279835390946502
77 904 0.4279835390946502
78 904 0.4279835390946502
