generation fitness Majority
0 1 0.4567901234567901
1 1 0.4567901234567901
2 1 0.4567901234567901
3 1 0.4567901234567901
4 1 0.4567901234567901
5 4 0.4732510288065844
6 4 0.4732510288065844
7 4 0.4732510288065844
8 4 0.4732510288065844
9 4 0.4732510288065844
10 4 0.4732510288065844
11 4 0.4732510288065844
12 4 0.4732510288065844
13 4 0.4732510288065844
14 4 0.4732510288065844
15 4 0.4732510288065844
16 4 0.4732510288065844
17 4 0.4732510288065844
18 4 0.4732510288065844
19 4 0.4732510288065844
20 4 0.4732510288065844
21 4 0.4732510288065844
22 4 0.4732510288065844
23 4 0.4732510288065844
24 4 0.4732510288065844
25 4 0.4732510288065844
26 4 0.4732510288065844
27 4 0.4732510288065844
28 4 0.4732510288065844
29 4 0.4732510288065844
30 12 0.4444444444444444
31 12 0.4444444444444444
32 12 0.4444444444444444
33 12 0.4444444444444444
34 20 0.43209876543209874
35 20 0.43209876543209874
36 20 0.43209876543209874
37 28 0.448559670781893
38 160 0.42386831275720166
39 488 0.4444444444444444
40 488 0.4444444444444444
41 488 0.4444444444444444
42 568 0.4444444444444444
43 932 0.43209876543209874
44 932 0.43209876543209874
45 932 0.43209876543209874
46 932 0.43209876543209874
47 932 0.43209876543209874
48 932 0.43209876543209874
49 932 0.43209876543209874
50 932 0.43209876543209874
51 932 0.43209876543209874
52 932 0.43209876543209874
53 932 0.43209876543209874
54 932 0.43209876543209874
55 932 0.43209876543209874
56 932 0.43209876543209874
57 932 0.43209876543209874
58 932 0.43209876543209874
59 932 0.43209876543209874
60 932 0.43209876543209874
61 932 0.43209876543209874
62 932 0.43209876543209874
63 932 0.43209876543209874
64 932 0.43209876543209874
65 932 0.43209876543209874
66 932 0.43209876543209874
67 932 0.43209876543209874
68 932 0.43209876543209874
69 932 0.43209876543209874
70 932 0.43209876543209874
71 932 0.43209876543209874
72 932 0.43209876543209874
73 932 0.43209876543209874
74 932 0.43209876543209874
75 932 0.43209876543209874
76 932 0.43209876543209874
77 932 0.43209876543209874
78 932 0.43209876543209874
